Designator,Mid X,Mid Y,Rotation,Layer
C202,109.25,-69.6375,270.0,top
C301,97.5,-74.5,0.0,top
C303,86.0,-67.0,0.0,top
C304,85.9625,-75.25,0.0,top
C401,97.5,-102.75,0.0,top
C403,86.0,-93.0,0.0,top
C404,86.0,-103.0,0.0,top
C501,130.0,-64.0,180.0,top
C503,144.0,-73.25,180.0,top
C504,144.0,-65.0,180.0,top
C601,130.0,-95.5,180.0,top
C603,144.0,-103.4,180.0,top
C604,144.0,-94.65,180.0,top
C701,108.75,-102.75,0.0,top
C702,80.75,-84.0,90.0,top
C703,147.75,-86.0,90.0,top
D102,130.5,-91.6625,90.0,top
D103,126.5,-91.6625,90.0,top
D201,91.475,-80.5,0.0,top
Q201,119.45,-71.8125,270.0,top
Q301,69.0,-57.0,90.0,top
Q401,69.0,-111.0,270.0,top
Q501,161.0,-57.0,90.0,top
Q601,161.0,-111.0,270.0,top
R109,130.5,-86.6625,270.0,top
R110,126.5,-86.6625,270.0,top
R201,113.5,-63.75,0.0,top
R202,118.0,-63.75,0.0,top
R203,113.0,-68.5,0.0,top
R204,115.5,-71.75,270.0,top
R205,113.0,-74.75,0.0,top
R208,96.225,-80.5,180.0,top
R301,96.4025,-66.0,0.0,top
R302,69.0,-53.1875,180.0,top
R303,77.0,-71.75,180.0,top
R304,90.5,-68.4025,90.0,top
R401,96.25,-94.0,0.0,top
R402,69.0,-114.875,0.0,top
R403,77.0,-96.25,180.0,top
R404,89.75,-98.5,270.0,top
R501,129.75,-72.5,180.0,top
R502,161.0,-53.25,180.0,top
R503,153.0,-71.75,0.0,top
R504,140.25,-70.75,270.0,top
R601,129.6525,-104.0,180.0,top
R602,161.0,-115.0,0.0,top
R603,153.0,-96.25,0.0,top
R604,140.25,-100.75,270.0,top
R701,82.5,-80.25,270.0,top
R702,74.75,-78.5,0.0,top
R703,78.0,-78.5,180.0,top
R704,73.5,-81.75,270.0,top
R705,82.5,-87.75,90.0,top
R706,74.75,-89.5,0.0,top
R707,78.0,-89.5,180.0,top
R708,73.5,-86.25,90.0,top
R709,142.5,-77.75,270.0,top
R710,145.0,-76.75,180.0,top
R711,145.0,-78.5,180.0,top
R712,140.75,-80.5,270.0,top
R713,143.0,-90.25,90.0,top
R714,145.25,-91.25,180.0,top
R715,145.25,-89.5,180.0,top
R716,140.75,-86.25,90.0,top
U201,112.45,-71.75,90.0,top
U301,96.0,-70.0,0.0,top
U302,86.0,-71.275,270.0,top
U401,96.0,-98.0,0.0,top
U402,86.0,-98.275,270.0,top
U501,130.0,-68.5,180.0,top
U502,144.0,-69.075,90.0,top
U601,130.0,-100.0,180.0,top
U602,144.0,-99.0,90.0,top
U701,110.75,-97.75,90.0,top
U702,77.0,-84.0,180.0,top
U703,144.0,-84.0,180.0,top
